word,dictionary definition
   the,denoting one or more people or things already mentioned or assumed to be common knowledge.. used to point forward to a following qualifying or defining clause or phrase. used to make a generalized reference to something rather than identifying a particular instance. enough of (a particular thing). (pronounced stressing ‘the’) used to indicate that someone or something is the best known or most important of that name or type. used adverbially with comparatives to indicate how one amount or degree of something varies in relation to another
   be,used with a present participle to form continuous tenses. used with a past participle to form the passive voice. used to indicate something that is due or destined to happen. used with the past participle of intransitive verbs to form perfect tenses. The chemical element beryllium.
   and,"used to connect words of the same part of speech, clauses, or sentences, that are to be taken jointly. used to introduce an additional comment or interjection. used after some verbs and before another verb to indicate intention, instead of ‘to’. a Boolean operator which gives the value one if and only if all the operands are one, and otherwise has a value of zero.. Andorra (international vehicle registration)."
   of,"expressing the relationship between a part and a whole.. expressing the relationship between a scale or measure and a value. indicating an association between two entities, typically one of belonging, in which the first is the head of the phrase and the second is something associated with it. expressing the relationship between a direction and a point of reference. expressing the relationship between a general category or type and the thing being specified which belongs to such a category. following a noun derived from or related to a verb.. where the head of the phrase is a predicative adjective. indicating the relationship between a verb and an indirect object.. indicating the material or substance constituting something. expressing time in relation to the following hour"
   a,"the first letter of the alphabet.. a shape like that of a capital A. the sixth note of the diatonic scale of C major. The A above middle C is usually used as the basis for tuning and in modern music has a standard frequency of 440 Hz.. used when referring to someone or something for the first time in a text or conversation.. used to indicate membership of a class of people or things. in, to, or for each; per (used when expressing rates or ratios). (in card games) ace. against (heading the column in a table of sports results which shows the goals or points scored against each club).. A level.. ampere(s).. ångstrom(s).. attack (in designations of US aircraft types). answer. (in names of sports clubs) Athletic. Austria (international vehicle registration).. (in travel timetables) arrives. (in units of measurement) atto- (10⁻¹⁸).. (with reference to sporting fixtures) away. (used before a date) before. acceleration."
   in,expressing the situation of something that is or appears to be enclosed or surrounded by something else. expressing a period of time during which an event happens or a situation remains the case. expressing the length of time before a future event is expected to happen. (often followed by a noun without a determiner) expressing a state or condition. expressing inclusion or involvement. indicating someone's occupation or profession. indicating the language or medium used. as an integral part of (an activity). expressing a value as a proportion of (a whole). expressing movement with the result that someone or something becomes enclosed or surrounded by something else. expressing the situation of being enclosed or surrounded by something. expressing arrival. (of the tide) rising or at its highest level.. present at one's home or office. fashionable. (of the ball in tennis and similar games) landing within the designated playing area.. batting. a position of influence with someone powerful or famous. the chemical element indium.. Indiana (in official postal use).
   to,expressing motion in the direction of (a particular location). approaching or reaching (a particular condition). identifying the person or thing affected by or receiving something. identifying a particular relationship between one person and another. indicating that two things are attached or linked. concerning or likely to concern (something). used to introduce the second element in a comparison. placed before a debit entry in accounting.. used with the base form of a verb to indicate that the verb is in the infinitive.. used without a verb following when the missing verb is clearly understood. so as to be closed or nearly closed
   have,"possess, own, or hold. experience; undergo. be obliged or find it necessary to do the specified thing. perform the action indicated by the noun specified (used especially in spoken English as an alternative to a more specific verb). show (a personal attribute or quality) by one's actions or attitude. place or keep (something) in a particular position. be the recipient of (something sent, given, or done). used with a past participle to form the perfect, pluperfect, and future perfect tenses, and the conditional mood. people with plenty of money and possessions. a swindle."
   to,expressing motion in the direction of (a particular location). approaching or reaching (a particular condition). identifying the person or thing affected by or receiving something. identifying a particular relationship between one person and another. indicating that two things are attached or linked. concerning or likely to concern (something). used to introduce the second element in a comparison. placed before a debit entry in accounting.. used with the base form of a verb to indicate that the verb is in the infinitive.. used without a verb following when the missing verb is clearly understood. so as to be closed or nearly closed
   it,"used to refer to a thing previously mentioned or easily identified. used to identify a person. used in the normal subject position in statements about time, distance, or weather. used in the normal subject or object position when a more specific subject or object is given later in the sentence. used to emphasize a following part of a sentence. the situation or circumstances; things in general. exactly what is needed or desired. sexual intercourse or sex appeal. denoting a person or thing that is exceptionally fashionable, popular, or successful at a particular time. (in children's games) the player who has to catch the others.. Italian vermouth."
   I,used by a speaker to refer to himself or herself. the ninth letter of the alphabet. the Roman numeral for one. used by a speaker to refer to himself or herself. (in metaphysics) the subject or object of self-consciousness; the ego.. Island(s) or Isle(s) (chiefly on maps). Italy (international vehicle registration). electric current. the chemical element iodine. the imaginary quantity equal to the square root of minus one.
